in-situ,nvm,8,0.6,4.18
in-situ,lustre,8,1.16,
in-situ,nvm,64,5.35,17.95
in-situ,lustre,64,10.65,
in-situ,nvm,512,5.21,20.15
in-situ,lustre,512,74.59,
post-processing,nvm,8,0.6,4.21
post-processing,lustre,8,1.2,
post-processing,nvm,64,4.88,17.92
post-processing,lustre,64,10.68,
post-processing,nvm,512,5.09,21.27
post-processing,lustre,512,75.78,
